dispnum,ord_incidnum,stabb,ccode,stday,stmon,styear,endday,endmon,endyear,insidea,sidea,fatality,fatalpre,action,hostlev,revtype1,revtype2,version,incidnum
3551,3551001,BEL,211,16,7,1992,16,7,1992,1,1,2,0,7,3,2,0,5,3551001
3551,3551001,CAN,20,16,7,1992,16,7,1992,1,1,2,0,7,3,2,0,5,3551001
3551,3551001,DEN,390,16,7,1992,16,7,1992,1,1,2,0,7,3,2,0,5,3551001
3551,3551001,FRN,220,16,7,1992,16,7,1992,1,1,2,0,7,3,2,0,5,3551001
3551,3551001,GMY,255,16,7,1992,16,7,1992,1,1,2,0,7,3,2,0,5,3551001
3551,3551001,GRC,350,16,7,1992,16,7,1992,1,1,2,0,7,3,2,0,5,3551001
3551,3551001,ITA,325,16,7,1992,16,7,1992,1,1,2,0,7,3,2,0,5,3551001
3551,3551001,NTH,210,16,7,1992,16,7,1992,1,1,2,0,7,3,2,0,5,3551001
3551,3551001,POR,235,16,7,1992,16,7,1992,1,1,2,0,7,3,2,0,5,3551001
3551,3551001,SPN,230,16,7,1992,16,7,1992,1,1,2,0,7,3,2,0,5,3551001
3551,3551001,TUR,640,16,7,1992,16,7,1992,1,1,2,0,7,3,2,0,5,3551001
3551,3551001,UKG,200,16,7,1992,16,7,1992,1,1,2,0,7,3,2,0,5,3551001
3551,3551001,USA,2,16,7,1992,16,7,1992,1,1,2,0,7,3,2,0,5,3551001
3551,3551001,YUG,345,16,7,1992,16,7,1992,0,0,2,0,0,1,0,0,5,3551001
3551,3551002,FRN,220,-9,1,1993,-9,1,1993,1,1,0,0,7,3,2,0,5,3551003
3551,3551002,UKG,200,-9,1,1993,-9,1,1993,1,1,0,0,7,3,2,0,5,3551003
3551,3551002,USA,2,-9,1,1993,-9,1,1993,1,1,0,0,7,3,2,0,5,3551003
3551,3551002,YUG,345,-9,1,1993,-9,1,1993,0,0,0,0,0,1,0,0,5,3551003
3551,3551003,UKG,200,14,1,1993,-9,1,1993,1,1,0,0,7,3,2,0,5,3551004
3551,3551003,YUG,345,14,1,1993,-9,1,1993,0,0,0,0,0,1,0,0,5,3551004
3551,3551004,RUM,360,30,1,1993,30,1,1993,0,1,0,0,0,1,0,0,5,3551005
